serial_no,record_id,object_name,loop_width_or_diameter_mm,loop_height_h_mm,bell_body_height_B_mm,h_over_loop_width_or_diameter,h_over_B,period,material,region_or_site,source_or_institution,source_url,in_50x50_filtered_view
001,MET-453182,Bell,23.56,21.71,64.29,0.9215,0.3377,11th century,Brass; cast,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/453182,Yes
002,CMA-1989.3,Bell (Lai Zhong),129.28,238.80,464.20,1.8472,0.5144,c. 800–700 BCE,bronze,Not stated in dataset,Cleveland Museum of Art,https://clevelandart.org/art/1989.3,No
003,CMA-1998.123,Buddhist Ritual Bell,50.70,94.52,83.48,1.8643,1.1322,1300s,bronze; with incised designs,Not stated in dataset,Cleveland Museum of Art,https://clevelandart.org/art/1998.123,No
004,MET-325552,Bell,22.22,13.49,23.61,0.6071,0.5714,ca. 3rd century BCE–3rd century CE,"Bronze, iron",Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/325552,Yes
005,MET-326202,Bell,12.26,15.88,60.12,1.2953,0.2641,ca. 9th century BCE,"Bronze, copper",Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326202,Yes
006,MET-326203,Bell,14.65,11.20,35.80,0.7645,0.3128,ca. 9th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326203,Yes
007,MET-326204,Bell,20.71,25.81,61.29,1.2463,0.4211,ca. 9th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326204,Yes
008,MET-326205,Bell,18.10,16.42,42.48,0.9072,0.3865,ca. 9th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326205,Yes
009,MET-326206,Bell,25.89,15.43,41.47,0.5960,0.3721,ca. 9th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326206,Yes
010,MET-326207,Bell,26.72,15.60,45.40,0.5838,0.3436,ca. 9th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326207,Yes
011,MET-326225,Bell inscribed with the Urartian royal name Argishti,22.31,19.10,67.90,0.8561,0.2813,ca. 789–766 BCE,"Bronze, iron",Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326225,Yes
012,MET-326579,Bell,16.98,17.36,64.64,1.0224,0.2686,ca. 8th–7th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326579,Yes
013,MET-326580,Bell,19.54,16.91,73.99,0.8654,0.2285,ca. 8th–7th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326580,Yes
014,MET-326583,Bell,17.94,17.28,57.62,0.9632,0.2999,ca. 700 BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326583,Yes
015,MET-326584,Bell,33.85,18.57,67.53,0.5486,0.2750,ca. 8th–7th century BCE,"Bronze, iron",Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326584,Yes
016,MET-326589,Openwork rattle bell,22.40,21.35,78.75,0.9531,0.2711,ca. 1000 BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326589,Yes
017,MET-326590,Openwork rattle bell,18.79,15.61,67.49,0.8308,0.2313,ca. 9th–8th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326590,Yes
018,MET-326592,Openwork rattle bell,28.12,17.53,64.47,0.6234,0.2719,ca. 9th–8th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326592,Yes
019,MET-326598,Openwork rattle bell,17.14,21.60,43.40,1.2602,0.4977,ca. 9th–8th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326598,Yes
020,MET-326604,Bell,9.22,19.93,84.97,2.1616,0.2346,1st millennium BCE (?),Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326604,Yes
021,MET-326605,Bell,29.53,24.95,77.15,0.8449,0.3234,1st millennium BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326605,Yes
022,MET-326608,Bell,19.12,22.00,74.00,1.1506,0.2973,1st millennium BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326608,Yes
023,MET-326610,Openwork rattle bell,23.35,23.80,96.10,1.0193,0.2477,1st millennium BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/326610,Yes
024,MET-327335,Openwork rattle bell,25.16,32.87,28.63,1.3064,1.1481,1st millennium BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/327335,Yes
025,MET-36117,Bell with Pagoda-Shaped Handle (Tōrei) and Three-Footed Stand (Kongōban),42.28,106.33,87.67,2.5149,1.2128,13th century,Gilt bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/36117,No
026,MET-39080,Bell with Bull with Chain,70.27,121.69,157.71,1.7317,0.7716,10th–11th century(?),Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/39080,No
027,MET-39762,Bell (niuzhong),58.14,79.18,218.82,1.3619,0.3618,5th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/39762,No
028,MET-44518,Bell (niuzhong),178.78,92.17,288.83,0.5155,0.3191,early 5th century BCE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/44518,No
029,MET-449185,Bell,30.12,34.21,35.64,1.1358,0.9599,5th–8th century,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/449185,Yes
030,MET-449196,Bell,8.00,10.01,16.98,1.2512,0.5895,5th–8th century,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/449196,Yes
031,MET-463588,Bell of Clogher,60.56,36.48,217.52,0.6024,0.1677,early 20th century (original dated 5th century),"Iron, bronze",Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/463588,No
032,MET-465605,Square Pyramidal Bell,11.39,11.71,26.29,1.0281,0.4454,6th–7th century (?),Copper alloy,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/465605,Yes
033,MET-466064,Church Bell,131.64,150.43,430.57,1.1427,0.3494,ca. 1411,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/466064,No
034,MET-471427,Bell,133.31,93.15,389.45,0.6987,0.2392,1494,"bronze, green patina",Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/471427,No
035,MET-501875,Bell,17.20,18.15,45.85,1.0552,0.3959,1st century (?),Metal (Bronze),Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/501875,Yes
036,MET-502207,Bell,47.72,35.42,86.82,0.7422,0.4080,3rd or 4th century BCE (?),Leaded bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/502207,Yes
037,MET-502514,Bell,12.18,16.77,34.03,1.3768,0.4928,1st century CE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/502514,Yes
038,MET-502515,Bell,15.14,15.11,25.89,0.9980,0.5836,1st century CE,bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/502515,Yes
039,MET-502516,Bell,19.68,14.88,23.12,0.7561,0.6436,100 BC-200 AD?,bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/502516,Yes
040,MET-502518,Bell,8.72,7.44,17.56,0.8532,0.4237,1st century,bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/502518,Yes
041,MET-504797,Bell,13.91,19.75,56.45,1.4198,0.3499,1st century CE,Bronze,Not stated in dataset,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/504797,Yes
