serial,photo_file,name,source,period,material,H,W,D,h,loop_width,loop_type,B,h_B,h_DW,notes,url,id,x,y,region,evidence,excel,report,ruler,era,material_group,distance,outlier,outside_frame,filtered_visible
1,001_MET-453182.jpg,Bell,The Metropolitan Museum of Art,11th century,Brass; cast,86.0,,93.6627,21.7107,23.5589,Outer W/D - user-corrected image plane,64.2893,0.3377,0.2318,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 3 3/8 in. (8.6 cm)
Diam. 3 11/16 in. (9.4 cm)
Wt. 8.8 oz. (249.5 g) | Evidence PDF: 001_MET-453182_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 21.71 mm; Body B 64.29 mm; Loop outer W/D 23.56 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/453182,MET-453182,23.56,21.71,Not stated in dataset,collection/02_Evidence/001_MET-453182_Evidence.pdf,collection/03_Excel_Data/001_MET-453182_Data.xlsx,collection/04_Ruler_Reports/001_MET-453182/001_MET-453182_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/001_MET-453182/001_MET-453182_ruler.png,CE / century-dated,Brass,21.825549248529807,False,False,True
2,002_CMA-1989.3.jpg,Bell (Lai Zhong),Cleveland Museum of Art,c. 800–700 BCE,bronze,703.0,370.0,,238.7952,129.2771,Outer W/D - user-corrected image plane,464.2048,0.5144,0.6454,"Structured numeric dimensions use only the explicit overall group, or the sole dimension group. | Source dimensions: Overall: 70.3 x 37 x 26.6 cm (27 11/16 x 14 9/16 x 10 1/2 in.) | Evidence PDF: 002_CMA-1989.3_Official_Source_Record.pdf | Photo license: CC0; metadata license: CC0. | User-corrected image lines: rotation 0.00 deg; Top h 238.80 mm; Body B 464.20 mm; Loop outer W/D 129.28 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://clevelandart.org/art/1989.3,CMA-1989.3,129.28,238.8,Not stated in dataset,collection/02_Evidence/002_CMA-1989.3_Evidence.pdf,collection/03_Excel_Data/002_CMA-1989.3_Data.xlsx,collection/04_Ruler_Reports/002_CMA-1989.3/002_CMA-1989.3_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/002_CMA-1989.3/002_CMA-1989.3_ruler.png,BCE-dated,Bronze,261.3082824940687,True,True,False
3,003_CMA-1998.123.jpg,Buddhist Ritual Bell,Cleveland Museum of Art,1300s,bronze; with incised designs,178.0,66.0,,94.5241,50.702,Outer W/D - user-corrected image plane,83.4759,1.1324,1.4322,"Structured numeric dimensions use only the explicit overall group, or the sole dimension group. | Source dimensions: Overall: 17.8 x 6.6 cm (7 x 2 5/8 in.) | Evidence PDF: 003_CMA-1998.123_Official_Source_Record.pdf | Photo license: CC0; metadata license: CC0. | User-corrected image lines: rotation 0.00 deg; Top h 94.52 mm; Body B 83.48 mm; Loop outer W/D 50.70 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://clevelandart.org/art/1998.123,CMA-1998.123,50.7,94.52,Not stated in dataset,collection/02_Evidence/003_CMA-1998.123_Evidence.pdf,collection/03_Excel_Data/003_CMA-1998.123_Data.xlsx,collection/04_Ruler_Reports/003_CMA-1998.123/003_CMA-1998.123_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/003_CMA-1998.123/003_CMA-1998.123_ruler.png,CE / century-dated,Bronze,97.03665338417231,True,True,False
4,004_MET-325552.jpg,Bell,The Metropolitan Museum of Art,ca. 3rd century BCE–3rd century CE,"Bronze, iron",37.1,22.225,,13.4909,22.225,Outer W/D - user-corrected image plane,23.6091,0.5714,0.607,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 1 7/16 × 7/8 in. (3.7 × 2.2 cm) | Evidence PDF: 004_MET-325552_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 13.49 mm; Body B 23.61 mm; Loop outer W/D 22.23 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/325552,MET-325552,22.22,13.49,Not stated in dataset,collection/02_Evidence/004_MET-325552_Evidence.pdf,collection/03_Excel_Data/004_MET-325552_Data.xlsx,collection/04_Ruler_Reports/004_MET-325552/004_MET-325552_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/004_MET-325552/004_MET-325552_ruler.png,BCE–CE range,Bronze,16.646374980757823,False,False,True
5,005_MET-326202.jpg,Bell,The Metropolitan Museum of Art,ca. 9th century BCE,"Bronze, copper",76.0,59.9,,15.8777,12.263,Outer W/D - user-corrected image plane,60.1223,0.2641,0.2651,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 3 in. × 2 3/8 in. × 2 3/8 in. (7.6 × 6 × 6 cm) | Evidence PDF: 005_MET-326202_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 15.88 mm; Body B 60.12 mm; Loop outer W/D 12.26 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326202,MET-326202,12.26,15.88,Not stated in dataset,collection/02_Evidence/005_MET-326202_Evidence.pdf,collection/03_Excel_Data/005_MET-326202_Data.xlsx,collection/04_Ruler_Reports/005_MET-326202/005_MET-326202_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/005_MET-326202/005_MET-326202_ruler.png,BCE-dated,Bronze,9.662013247765707,False,False,True
6,006_MET-326203.jpg,Bell,The Metropolitan Museum of Art,ca. 9th century BCE,Bronze,47.0,34.0,,11.1967,14.6532,Outer W/D - user-corrected image plane,35.8033,0.3127,0.3293,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 1.85 x 1.34 in. (4.7 x 3.4 cm) | Evidence PDF: 006_MET-326203_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 11.20 mm; Body B 35.80 mm; Loop outer W/D 14.65 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326203,MET-326203,14.65,11.2,Not stated in dataset,collection/02_Evidence/006_MET-326203_Evidence.pdf,collection/03_Excel_Data/006_MET-326203_Data.xlsx,collection/04_Ruler_Reports/006_MET-326203/006_MET-326203_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/006_MET-326203/006_MET-326203_ruler.png,BCE-dated,Bronze,8.745375921022491,False,False,True
7,007_MET-326204.jpg,Bell,The Metropolitan Museum of Art,ca. 9th century BCE,Bronze,87.1,51.1,,25.8139,20.7059,Outer W/D - user-corrected image plane,61.2861,0.4212,0.5052,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 3.43 x 2.01 in. (8.71 x 5.11 cm) | Evidence PDF: 007_MET-326204_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 25.81 mm; Body B 61.29 mm; Loop outer W/D 20.71 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326204,MET-326204,20.71,25.81,Not stated in dataset,collection/02_Evidence/007_MET-326204_Evidence.pdf,collection/03_Excel_Data/007_MET-326204_Data.xlsx,collection/04_Ruler_Reports/007_MET-326204/007_MET-326204_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/007_MET-326204/007_MET-326204_ruler.png,BCE-dated,Bronze,22.690749216365685,False,False,True
8,008_MET-326205.jpg,Bell,The Metropolitan Museum of Art,ca. 9th century BCE,Bronze,58.9,43.9,,16.4203,18.0991,Outer W/D - user-corrected image plane,42.4797,0.3865,0.374,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 2.32 x 1.73 in. (5.89 x 4.39 cm) | Evidence PDF: 008_MET-326205_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation -10.00 deg; Top h 16.42 mm; Body B 42.48 mm; Loop outer W/D 18.10 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326205,MET-326205,18.1,16.42,Not stated in dataset,collection/02_Evidence/008_MET-326205_Evidence.pdf,collection/03_Excel_Data/008_MET-326205_Data.xlsx,collection/04_Ruler_Reports/008_MET-326205/008_MET-326205_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/008_MET-326205/008_MET-326205_ruler.png,BCE-dated,Bronze,14.281109900844545,False,False,True
9,009_MET-326206.jpg,Bell,The Metropolitan Museum of Art,ca. 9th century BCE,Bronze,56.9,56.9,,15.4308,25.8895,Outer W/D - user-corrected image plane,41.4692,0.3721,0.2712,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 2.24 x 2.24 in. (5.69 x 5.69 cm) | Evidence PDF: 009_MET-326206_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 15.43 mm; Body B 41.47 mm; Loop outer W/D 25.89 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326206,MET-326206,25.89,15.43,Not stated in dataset,collection/02_Evidence/009_MET-326206_Evidence.pdf,collection/03_Excel_Data/009_MET-326206_Data.xlsx,collection/04_Ruler_Reports/009_MET-326206/009_MET-326206_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/009_MET-326206/009_MET-326206_ruler.png,BCE-dated,Bronze,20.75491508052972,False,False,True
10,010_MET-326207.jpg,Bell,The Metropolitan Museum of Art,ca. 9th century BCE,Bronze,61.0,45.0,,15.6004,26.7181,Outer W/D - user-corrected image plane,45.3996,0.3436,0.3467,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: 2.4 x 1.77 in. (6.1 x 4.5 cm) | Evidence PDF: 010_MET-326207_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 15.60 mm; Body B 45.40 mm; Loop outer W/D 26.72 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/326207,MET-326207,26.72,15.6,Not stated in dataset,collection/02_Evidence/010_MET-326207_Evidence.pdf,collection/03_Excel_Data/010_MET-326207_Data.xlsx,collection/04_Ruler_Reports/010_MET-326207/010_MET-326207_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/010_MET-326207/010_MET-326207_ruler.png,BCE-dated,Bronze,21.592278712539812,False,False,True
