serial,photo_file,name,source,period,material,H,W,D,h,loop_width,loop_type,B,h_B,h_DW,notes,url,id,x,y,region,evidence,excel,report,ruler,era,material_group,distance,outlier,outside_frame,filtered_visible
48,048_MET-56441.jpg,Bell,The Metropolitan Museum of Art,500 BCE–300 CE,Bronze,38.0,24.0,,8.0982,6.902,Outer W/D - user-corrected image plane,29.9018,0.2708,0.3374,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 1 1/2 in. (3.8 cm); W. 15/16 in. (2.4 cm) | Evidence PDF: 055_MET-56441_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 8.10 mm; Body B 29.90 mm; Loop outer W/D 6.90 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/56441,MET-56441,6.9,8.1,Not stated in dataset,collection/02_Evidence/048_MET-56441_Evidence.pdf,collection/03_Excel_Data/048_MET-56441_Data.xlsx,collection/04_Ruler_Reports/048_MET-56441/048_MET-56441_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/048_MET-56441/048_MET-56441_ruler.png,BCE–CE range,Bronze,0.45398237851264694,False,False,True
40,040_MET-502518.png,Bell,The Metropolitan Museum of Art,1st century,bronze,25.0,,22.0,7.4385,8.7183,Outer W/D - user-corrected image plane,17.5615,0.4236,0.3381,Added from supplied Legacy PDF after matching the official Met object page. Component h and B remain IMAGE-SCALED*. | Source dimensions: Height: 25 mm; Diameter: 22 mm; Weight: 11 g | Evidence PDF: 042_MET-502518_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 7.44 mm; Body B 17.56 mm; Loop outer W/D 8.72 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.,https://www.metmuseum.org/art/collection/search/502518,MET-502518,8.72,7.44,Not stated in dataset,collection/02_Evidence/040_MET-502518_Evidence.pdf,collection/03_Excel_Data/040_MET-502518_Data.xlsx,collection/04_Ruler_Reports/040_MET-502518/040_MET-502518_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/040_MET-502518/040_MET-502518_ruler.png,CE / century-dated,Bronze,2.3814491386548657,False,False,True
30,030_MET-449196.jpg,Bell,The Metropolitan Museum of Art,5th–8th century,Bronze,26.9876,,17.4625,10.0079,7.9968,Outer W/D - user-corrected image plane,16.9797,0.5894,0.5731,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: Ht. 1 1/16 in. (2.7 cm)
Diam. 11/16 in. (1.7 cm)
Wt. 0.2 oz. (5.7 g) | Evidence PDF: 030_MET-449196_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 10.01 mm; Body B 16.98 mm; Loop outer W/D 8.00 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source Diameter D.",https://www.metmuseum.org/art/collection/search/449196,MET-449196,8.0,10.01,Not stated in dataset,collection/02_Evidence/030_MET-449196_Evidence.pdf,collection/03_Excel_Data/030_MET-449196_Data.xlsx,collection/04_Ruler_Reports/030_MET-449196/030_MET-449196_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/030_MET-449196/030_MET-449196_ruler.png,CE / century-dated,Bronze,2.413503677229434,False,False,True
46,046_MET-551319.jpg,Bell with head of a bovine wearing a yoke ending in uraei,The Metropolitan Museum of Art,332–30 BCE,Leaded bronze,43.5,32.0,,11.1923,9.1636,Outer W/D - user-corrected image plane,32.3077,0.3464,0.3498,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 4.4 × W. 3.2 × D. 4.5 cm (1 11/16 × 1 1/4 × 1 3/4 in.) | Evidence PDF: 052_MET-551319_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 11.19 mm; Body B 32.31 mm; Loop outer W/D 9.16 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/551319,MET-551319,9.16,11.19,Not stated in dataset,collection/02_Evidence/046_MET-551319_Evidence.pdf,collection/03_Excel_Data/046_MET-551319_Data.xlsx,collection/04_Ruler_Reports/046_MET-551319/046_MET-551319_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/046_MET-551319/046_MET-551319_ruler.png,BCE-dated,Bronze,4.065095324835569,False,False,True
59,059_MET-62409.jpg,Bell,The Metropolitan Museum of Art,500 BCE–300 CE,Bronze,14.0,13.0,,3.85,9.3333,Outer W/D - user-corrected image plane,10.15,0.3793,0.2962,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 9/16 in. (1.4 cm); W. 1/2 in. (1.3 cm) | Evidence PDF: 068_MET-62409_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 105.00 deg; Top h 3.85 mm; Body B 10.15 mm; Loop outer W/D 9.33 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/62409,MET-62409,9.33,3.85,Not stated in dataset,collection/02_Evidence/059_MET-62409_Evidence.pdf,collection/03_Excel_Data/059_MET-62409_Data.xlsx,collection/04_Ruler_Reports/059_MET-62409/059_MET-62409_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/059_MET-62409/059_MET-62409_ruler.png,BCE–CE range,Bronze,5.1836763016222385,False,False,True
32,032_MET-465605.jpg,Square Pyramidal Bell,The Metropolitan Museum of Art,6th–7th century (?),Copper alloy,38.0,38.0,,11.7074,11.3894,Outer W/D - user-corrected image plane,26.2926,0.4453,0.3081,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: Overall: 1 1/2 x 1 1/2 x 1 1/8 in. (3.8 x 3.8 x 2.8 cm) | Evidence PDF: 032_MET-465605_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 11.71 mm; Body B 26.29 mm; Loop outer W/D 11.39 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/465605,MET-465605,11.39,11.71,Not stated in dataset,collection/02_Evidence/032_MET-465605_Evidence.pdf,collection/03_Excel_Data/032_MET-465605_Data.xlsx,collection/04_Ruler_Reports/032_MET-465605/032_MET-465605_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/032_MET-465605/032_MET-465605_ruler.png,CE / century-dated,Copper / copper alloy,6.0832639265446975,False,False,True
49,049_MET-56443.jpg,Circular Bell,The Metropolitan Museum of Art,500 BCE–300 CE,Bronze,32.0,24.0,,9.6193,12.4511,Outer W/D - user-corrected image plane,22.3807,0.4298,0.4008,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 1 1/4 in. (3.2 cm); W. 15/16 in. (2.4 cm) | Evidence PDF: 057_MET-56443_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 100.00 deg; Top h 9.62 mm; Body B 22.38 mm; Loop outer W/D 12.45 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/56443,MET-56443,12.45,9.62,Not stated in dataset,collection/02_Evidence/049_MET-56443_Evidence.pdf,collection/03_Excel_Data/049_MET-56443_Data.xlsx,collection/04_Ruler_Reports/049_MET-56443/049_MET-56443_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/049_MET-56443/049_MET-56443_ruler.png,BCE–CE range,Bronze,6.1750789468637555,False,False,True
47,047_MET-551320.jpg,"Bell with heads of a ram, a jackal, and a bovine wearing a yoke ending in uraei",The Metropolitan Museum of Art,332–30 BCE,Leaded bronze,44.0,43.0,,12.9634,11.9339,Outer W/D - user-corrected image plane,31.0366,0.4177,0.3015,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 4.4 × W. 4.3 × D. 4 cm (1 3/4 × 1 11/16 × 1 9/16 in.) | Evidence PDF: 053_MET-551320_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | User-corrected image lines: rotation 0.00 deg; Top h 12.96 mm; Body B 31.04 mm; Loop outer W/D 11.93 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/551320,MET-551320,11.93,12.96,Not stated in dataset,collection/02_Evidence/047_MET-551320_Evidence.pdf,collection/03_Excel_Data/047_MET-551320_Data.xlsx,collection/04_Ruler_Reports/047_MET-551320/047_MET-551320_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/047_MET-551320/047_MET-551320_ruler.png,BCE-dated,Bronze,7.284943376581592,False,False,True
69,069_MET-313236.jpg,Bell,The Metropolitan Museum of Art,750–950 CE,Gold alloy,41.275,19.1,,15.6791,6.5448,Outer W/D - user-corrected image plane,25.5959,0.6126,0.8209,"Structured numeric dimensions use only the explicit Overall element, or the sole measurement element. | Source dimensions: H. 1 5/8 x W. 3/4 x D. 3/4 in. (4.1 x 1.9 x 1.9 cm) | Evidence PDF: 079_MET-313236_Official_Source_Record.pdf | Photo license: Public Domain / Met Open Access; metadata license: CC0 / Met Open Access dataset. | Visible top suspension component is absent or not separable in the retained source view; h is recorded as 0 for the extant/shown form, not reconstructed. | No visible/separable top suspension component in the retained view; loop outer W/D is recorded as 0 for the shown form, not reconstructed. | User-corrected image lines: rotation 180.00 deg; Top h 15.68 mm; Body B 25.60 mm; Loop outer W/D 6.54 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://www.metmuseum.org/art/collection/search/313236,MET-313236,6.54,15.68,Not stated in dataset,collection/02_Evidence/069_MET-313236_Evidence.pdf,collection/03_Excel_Data/069_MET-313236_Data.xlsx,collection/04_Ruler_Reports/069_MET-313236/069_MET-313236_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/069_MET-313236/069_MET-313236_ruler.png,CE / century-dated,Gold,7.520538544545862,False,False,True
72,072_AI20-21-PRK-FIG39-8.jpg,Bell with a four-sided hollow body,Prakash 1955: A Chalcolithic Site — Ancient India Nos. 20 & 21,Early level of Period III,Leaded bronze,44.3114,27.5449,,15.1901,10.3664,Outer W/D - user-corrected image plane,29.1213,0.5216,0.5515,"Fig. 39 no. 8; photograph on Plate XXVII A no. 8. Source describes a four-sided hollow body, constriction below the terminal ring and a grooved thickened rim-base; tongue missing. H, W, Top h and Body B are IMAGE-SCALED from the printed 0–10 cm scale and clean line drawing; scan line weight limits precision. Four-sided W is not a diameter; Shadow was not measured. | Evidence PDF: 083-084_Ancient_India_20_21_Prakash_Bells.pdf | User-corrected image lines: rotation 0.00 deg; Top h 15.19 mm; Body B 29.12 mm; Loop outer W/D 10.37 mm. Values are image-scaled only from the source-published H and D/W; shadows are excluded. | h/D* denominator: source total Width W fallback because D is unavailable; W is not relabelled as diameter.",https://ignca.gov.in/Asi_data/45770.pdf,AI20-21-PRK-FIG39-8,10.37,15.19,Prakash Chalcolithic site,collection/02_Evidence/072_AI20-21-PRK-FIG39-8_Evidence.pdf,collection/03_Excel_Data/072_AI20-21-PRK-FIG39-8_Data.xlsx,collection/04_Ruler_Reports/072_AI20-21-PRK-FIG39-8/072_AI20-21-PRK-FIG39-8_Ruler_Dimension_Report.pdf,collection/04_Ruler_Reports/072_AI20-21-PRK-FIG39-8/072_AI20-21-PRK-FIG39-8_ruler.png,Other / no explicit era,Bronze,8.049055845252907,False,False,True
